areaid,tsdatetime,month,population,epi.q75,epi.q95,initdate,epiq95_case
alto paraguay,2017-01-31,1,17396.9755983353,16.9876590562892,46.7304590587043,20201001,8.12968655943284
alto paraguay,2017-02-28,2,17396.9755983353,5.91811832728611,15.3576718927686,20201001,2.67177043165736
alto paraguay,2017-03-31,3,17396.9755983353,27.2512853688292,59.3739772950205,20201001,10.3292763417759
alto paraguay,2017-04-30,4,17396.9755983353,18.6205963410514,888.505685498781,20201001,154.573117296045
alto paraguay,2017-05-31,5,17396.9755983353,1.00000003888011,198.426336018571,20201001,34.5201812578216
alto paraguay,2017-06-30,6,17396.9755983353,1.00000003888011,423.827892304879,20201001,73.7332350032186
alto paraguay,2017-07-31,7,17396.9755983353,5.54127877228501,146.90743424033,20201001,25.5574504869307
alto paraguay,2017-08-31,8,17396.9755983353,1.00000003888011,29.5695113735914,20201001,5.14420067821068
alto paraguay,2017-09-30,9,17396.9755983353,1.00000003888011,179.906834001161,20201001,31.2983480109196
alto paraguay,2017-10-31,10,17396.9755983353,5.54127877228501,274.966115890944,20201001,47.8357880852379
alto paraguay,2017-11-30,11,17396.9755983353,1.00000003888011,217.617791689474,20201001,37.8589141178539
alto paraguay,2017-12-31,12,17396.9755983353,1.00000003888011,91.3163020952461,20201001,15.8862747928121
alto paraguay,2018-01-31,1,17659.8787982464,16.9876590562892,46.7304590587043,20201001,8.25254243163133
alto paraguay,2018-02-28,2,17659.8787982464,5.91811832728611,15.3576718927686,20201001,2.7121462424953
alto paraguay,2018-03-31,3,17659.8787982464,27.2512853688292,59.3739772950205,20201001,10.485372427999
alto paraguay,2018-04-30,4,17659.8787982464,18.6205963410514,888.505685498781,20201001,156.909027174613
alto paraguay,2018-05-31,5,17659.8787982464,1.00000003888011,198.426336018571,20201001,35.0418504446808
alto paraguay,2018-06-30,6,17659.8787982464,1.00000003888011,423.827892304879,20201001,74.8474920942039
alto paraguay,2018-07-31,7,17659.8787982464,5.54127877228501,146.90743424033,20201001,25.9436748324558
alto paraguay,2018-08-31,8,17659.8787982464,1.00000003888011,29.5695113735914,20201001,5.22193986980993
alto paraguay,2018-09-30,9,17659.8787982464,1.00000003888011,179.906834001161,20201001,31.7713288343674
alto paraguay,2018-10-31,10,17659.8787982464,5.54127877228501,274.966115890944,20201001,48.5586828025865
alto paraguay,2018-11-30,11,17659.8787982464,1.00000003888011,217.617791689474,20201001,38.4310382557814
alto paraguay,2018-12-31,12,17659.8787982464,1.00000003888011,91.3163020952461,20201001,16.126348273061
alto paraguay,2019-01-31,1,18046.3759557009,16.9876590562892,46.7304590587043,20201001,8.43315432755866
alto paraguay,2019-02-28,2,18046.3759557009,5.91811832728611,15.3576718927686,20201001,2.77150320781204
alto paraguay,2019-03-31,3,18046.3759557009,27.2512853688292,59.3739772950205,20201001,10.7148511625119
alto paraguay,2019-04-30,4,18046.3759557009,18.6205963410514,888.505685498781,20201001,160.343076392888
alto paraguay,2019-05-31,5,18046.3759557009,1.00000003888011,198.426336018571,20201001,35.8087625930337
alto paraguay,2019-06-30,6,18046.3759557009,1.00000003888011,423.827892304879,20201001,76.4855748504616
alto paraguay,2019-07-31,7,18046.3759557009,5.54127877228501,146.90743424033,20201001,26.511467889884
alto paraguay,2019-08-31,8,18046.3759557009,1.00000003888011,29.5695113735914,20201001,5.33622519074205
alto paraguay,2019-09-30,9,18046.3759557009,1.00000003888011,179.906834001161,20201001,32.4666636338483
alto paraguay,2019-10-31,10,18046.3759557009,5.54127877228501,274.966115890944,20201001,49.621419024468
alto paraguay,2019-11-30,11,18046.3759557009,1.00000003888011,217.617791689474,20201001,39.2721248347765
alto paraguay,2019-12-31,12,18046.3759557009,1.00000003888011,91.3163020952461,20201001,16.4792831849517
alto paraguay,2020-01-31,1,18347.7583986521,16.9876590562892,46.7304590587043,20201001,8.57399172667209
alto paraguay,2020-02-29,2,18347.7583986521,5.91811832728611,15.3576718927686,20201001,2.81778853454289
alto paraguay,2020-03-31,3,18347.7583986521,27.2512853688292,59.3739772950205,20201001,10.8937939057609
alto paraguay,2020-04-30,4,18347.7583986521,18.6205963410514,888.505685498781,20201001,163.020876533604
alto paraguay,2020-05-31,5,18347.7583986521,1.00000003888011,198.426336018571,20201001,36.406784731985
alto paraguay,2020-06-30,6,18347.7583986521,1.00000003888011,423.827892304879,20201001,77.7629177061986
