areaid,tsdatetime,month,population,epi.q75,epi.q95,initdate,epiq95_case
alto paraguay,2012-01-31,1,15786.6826961637,16.9876590562892,46.7304590587043,20200801,7.37718929405833
alto paraguay,2012-02-29,2,15786.6826961637,5.91811832728611,15.3576718927686,20200801,2.4244669312293
alto paraguay,2012-03-31,3,15786.6826961637,27.2512853688292,59.3739772950205,20200801,9.37318139965716
alto paraguay,2012-04-30,4,15786.6826961637,18.6205963410514,888.505685498781,20200801,140.265573307067
alto paraguay,2012-05-31,5,15786.6826961637,1.00000003888011,198.426336018571,20200801,31.3249360528754
alto paraguay,2012-06-30,6,15786.6826961637,1.00000003888011,423.827892304879,20200801,66.9083645360097
alto paraguay,2012-07-31,7,15786.6826961637,5.54127877228501,146.90743424033,20200801,23.1918105005962
alto paraguay,2012-08-31,8,15786.6826961637,1.00000003888011,29.5695113735914,20200801,4.66804493535491
alto paraguay,2012-09-30,9,15786.6826961637,1.00000003888011,235.299195679638,20200801,37.1459374085697
alto paraguay,2012-10-31,10,15786.6826961637,1.00000003888011,289.846510323971,20200801,45.7571488907487
alto paraguay,2012-11-30,11,15786.6826961637,1.00000003888011,217.617791689474,20200801,34.3546302644158
alto paraguay,2012-12-31,12,15786.6826961637,1.00000003888011,91.3163020952461,20200801,14.4158148616468
alto paraguay,2013-01-31,1,16111.1918493509,16.9876590562892,46.7304590587043,20200801,7.52883391103022
alto paraguay,2013-02-28,2,16111.1918493509,5.91811832728611,15.3576718927686,20200801,2.4743039822378
alto paraguay,2013-03-31,3,16111.1918493509,27.2512853688292,59.3739772950205,20200801,9.56585539059079
alto paraguay,2013-04-30,4,16111.1918493509,18.6205963410514,888.505685498781,20200801,143.148855583099
alto paraguay,2013-05-31,5,16111.1918493509,1.00000003888011,198.426336018571,20200801,31.9688476755897
alto paraguay,2013-06-30,6,16111.1918493509,1.00000003888011,423.827892304879,20200801,68.2837248402994
alto paraguay,2013-07-31,7,16111.1918493509,5.54127877228501,146.90743424033,20200801,23.6685385714186
alto paraguay,2013-08-31,8,16111.1918493509,1.00000003888011,29.5695113735914,20200801,4.76400070631495
alto paraguay,2013-09-30,9,16111.1918493509,1.00000003888011,235.299195679638,20200801,37.909504835926
alto paraguay,2013-10-31,10,16111.1918493509,1.00000003888011,289.846510323971,20200801,46.6977273469437
alto paraguay,2013-11-30,11,16111.1918493509,1.00000003888011,217.617791689474,20200801,35.060819917412
alto paraguay,2013-12-31,12,16111.1918493509,1.00000003888011,91.3163020952461,20200801,14.7121446202979
alto paraguay,2014-01-31,1,16450.1860796213,16.9876590562892,46.7304590587043,20200801,7.6872474710181
alto paraguay,2014-02-28,2,16450.1860796213,5.91811832728611,15.3576718927686,20200801,2.52636560385814
alto paraguay,2014-03-31,3,16450.1860796213,27.2512853688292,59.3739772950205,20200801,9.76712974790297
alto paraguay,2014-04-30,4,16450.1860796213,18.6205963410514,888.505685498781,20200801,146.160838592564
alto paraguay,2014-05-31,5,16450.1860796213,1.00000003888011,198.426336018571,20200801,32.6415015060296
alto paraguay,2014-06-30,6,16450.1860796213,1.00000003888011,423.827892304879,20200801,69.7204769414896
alto paraguay,2014-07-31,7,16450.1860796213,5.54127877228501,146.90743424033,20200801,24.1665462973316
alto paraguay,2014-08-31,8,16450.1860796213,1.00000003888011,29.5695113735914,20200801,4.86423964379057
alto paraguay,2014-09-30,9,16450.1860796213,1.00000003888011,235.299195679638,20200801,38.7071555331526
alto paraguay,2014-10-31,10,16450.1860796213,1.00000003888011,289.846510323971,20200801,47.680290293582
alto paraguay,2014-11-30,11,16450.1860796213,1.00000003888011,217.617791689474,20200801,35.7985316752811
alto paraguay,2014-12-31,12,16450.1860796213,1.00000003888011,91.3163020952461,20200801,15.0217016156971
alto paraguay,2015-01-31,1,16839.3978705406,16.9876590562892,46.7304590587043,20200801,7.86912792762529
alto paraguay,2015-02-28,2,16839.3978705406,5.91811832728611,15.3576718927686,20200801,2.5861394736755
alto paraguay,2015-03-31,3,16839.3978705406,27.2512853688292,59.3739772950205,20200801,9.99822026827294
alto paraguay,2015-04-30,4,16839.3978705406,18.6205963410514,888.505685498781,20200801,149.619007483514
