areaid,tsdatetime,month,population,epi.q75,epi.q95,initdate,epiq95_case
alto paraguay,2012-01-31,1,15786.6826961637,34.4513890111917,69.644978492727,20210301,10.9946317684583
alto paraguay,2012-02-29,2,15786.6826961637,6.13356802244609,53.6144572141727,20210301,8.46394423967189
alto paraguay,2012-03-31,3,15786.6826961637,42.7749643783864,204.313065182598,20210301,32.2542553071828
alto paraguay,2012-04-30,4,15786.6826961637,18.6205963410514,888.505685498781,20210301,140.265573307067
alto paraguay,2012-05-31,5,15786.6826961637,1.00000003888011,198.426336018571,20210301,31.3249360528754
alto paraguay,2012-06-30,6,15786.6826961637,1.00000003888011,423.827892304879,20210301,66.9083645360097
alto paraguay,2012-07-31,7,15786.6826961637,5.54127877228501,146.90743424033,20210301,23.1918105005962
alto paraguay,2012-08-31,8,15786.6826961637,1.00000003888011,29.5695113735914,20210301,4.66804493535491
alto paraguay,2012-09-30,9,15786.6826961637,1.00000003888011,179.906834001161,20210301,28.4013210324773
alto paraguay,2012-10-31,10,15786.6826961637,5.54127877228501,274.966115890944,20210301,43.4080282376691
alto paraguay,2012-11-30,11,15786.6826961637,1.00000003888011,143.447388704009,20210301,22.6455840906345
alto paraguay,2012-12-31,12,15786.6826961637,5.54127877228501,110.252267075591,20210301,17.4051755685505
alto paraguay,2013-01-31,1,16111.1918493509,34.4513890111917,69.644978492727,20210301,11.2206360984024
alto paraguay,2013-02-28,2,16111.1918493509,6.13356802244609,53.6144572141727,20210301,8.63792806076351
alto paraguay,2013-03-31,3,16111.1918493509,42.7749643783864,204.313065182598,20210301,32.9172699048577
alto paraguay,2013-04-30,4,16111.1918493509,18.6205963410514,888.505685498781,20210301,143.148855583099
alto paraguay,2013-05-31,5,16111.1918493509,1.00000003888011,198.426336018571,20210301,31.9688476755897
alto paraguay,2013-06-30,6,16111.1918493509,1.00000003888011,423.827892304879,20210301,68.2837248402994
alto paraguay,2013-07-31,7,16111.1918493509,5.54127877228501,146.90743424033,20210301,23.6685385714186
alto paraguay,2013-08-31,8,16111.1918493509,1.00000003888011,29.5695113735914,20210301,4.76400070631495
alto paraguay,2013-09-30,9,16111.1918493509,1.00000003888011,179.906834001161,20210301,28.9851351760203
alto paraguay,2013-10-31,10,16111.1918493509,5.54127877228501,274.966115890944,20210301,44.3003184518986
alto paraguay,2013-11-30,11,16111.1918493509,1.00000003888011,143.447388704009,20210301,23.111083996987
alto paraguay,2013-12-31,12,16111.1918493509,5.54127877228501,110.252267075591,20210301,17.7629542668072
alto paraguay,2014-01-31,1,16450.1860796213,34.4513890111917,69.644978492727,20210301,11.4567285571658
alto paraguay,2014-02-28,2,16450.1860796213,6.13356802244609,53.6144572141727,20210301,8.81967797731035
alto paraguay,2014-03-31,3,16450.1860796213,42.7749643783864,204.313065182598,20210301,33.6098794075153
alto paraguay,2014-04-30,4,16450.1860796213,18.6205963410514,888.505685498781,20210301,146.160838592564
alto paraguay,2014-05-31,5,16450.1860796213,1.00000003888011,198.426336018571,20210301,32.6415015060296
alto paraguay,2014-06-30,6,16450.1860796213,1.00000003888011,423.827892304879,20210301,69.7204769414896
alto paraguay,2014-07-31,7,16450.1860796213,5.54127877228501,146.90743424033,20210301,24.1665462973316
alto paraguay,2014-08-31,8,16450.1860796213,1.00000003888011,29.5695113735914,20210301,4.86423964379057
alto paraguay,2014-09-30,9,16450.1860796213,1.00000003888011,179.906834001161,20210301,29.5950089631464
alto paraguay,2014-10-31,10,16450.1860796213,5.54127877228501,274.966115890944,20210301,45.2324377199675
alto paraguay,2014-11-30,11,16450.1860796213,1.00000003888011,143.447388704009,20210301,23.5973623681672
alto paraguay,2014-12-31,12,16450.1860796213,5.54127877228501,110.252267075591,20210301,18.1367030909358
alto paraguay,2015-01-31,1,16839.3978705406,34.4513890111917,69.644978492727,20210301,11.7277950252427
alto paraguay,2015-02-28,2,16839.3978705406,6.13356802244609,53.6144572141727,20210301,9.02835176642529
alto paraguay,2015-03-31,3,16839.3978705406,42.7749643783864,204.313065182598,20210301,34.4050899475946
alto paraguay,2015-04-30,4,16839.3978705406,18.6205963410514,888.505685498781,20210301,149.619007483514
alto paraguay,2015-05-31,5,16839.3978705406,1.00000003888011,198.426336018571,20210301,33.413800202103
