"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2021-04-30,"20210301","alto paraguay",1
"length_transmission_season",2021-04-30,"20210301","alto parana",0
"length_transmission_season",2021-04-30,"20210301","amambay",0
"length_transmission_season",2021-04-30,"20210301","asuncion",1
"length_transmission_season",2021-04-30,"20210301","boqueron",1
"length_transmission_season",2021-04-30,"20210301","caaguazu",0
"length_transmission_season",2021-04-30,"20210301","caazapa",1
"length_transmission_season",2021-04-30,"20210301","canindeyu",1
"length_transmission_season",2021-04-30,"20210301","central",1
"length_transmission_season",2021-04-30,"20210301","concepcion",1
"length_transmission_season",2021-04-30,"20210301","cordillera",0
"length_transmission_season",2021-04-30,"20210301","guaira",1
"length_transmission_season",2021-04-30,"20210301","itapua",1
"length_transmission_season",2021-04-30,"20210301","misiones",0
"length_transmission_season",2021-04-30,"20210301","neembucu",1
"length_transmission_season",2021-04-30,"20210301","paraguari",1
"length_transmission_season",2021-04-30,"20210301","presidente hayes",1
"length_transmission_season",2021-04-30,"20210301","san pedro",0
"length_transmission_season",2021-05-31,"20210301","alto paraguay",1
"length_transmission_season",2021-05-31,"20210301","alto parana",0
"length_transmission_season",2021-05-31,"20210301","amambay",1
"length_transmission_season",2021-05-31,"20210301","asuncion",1
"length_transmission_season",2021-05-31,"20210301","boqueron",1
"length_transmission_season",2021-05-31,"20210301","caaguazu",1
"length_transmission_season",2021-05-31,"20210301","caazapa",1
"length_transmission_season",2021-05-31,"20210301","canindeyu",1
"length_transmission_season",2021-05-31,"20210301","central",1
"length_transmission_season",2021-05-31,"20210301","concepcion",1
"length_transmission_season",2021-05-31,"20210301","cordillera",0
"length_transmission_season",2021-05-31,"20210301","guaira",1
"length_transmission_season",2021-05-31,"20210301","itapua",1
"length_transmission_season",2021-05-31,"20210301","misiones",0
"length_transmission_season",2021-05-31,"20210301","neembucu",1
"length_transmission_season",2021-05-31,"20210301","paraguari",1
"length_transmission_season",2021-05-31,"20210301","presidente hayes",1
"length_transmission_season",2021-05-31,"20210301","san pedro",0
"length_transmission_season",2021-06-30,"20210301","alto paraguay",1
"length_transmission_season",2021-06-30,"20210301","alto parana",1
"length_transmission_season",2021-06-30,"20210301","amambay",1
"length_transmission_season",2021-06-30,"20210301","asuncion",1
"length_transmission_season",2021-06-30,"20210301","boqueron",1
"length_transmission_season",2021-06-30,"20210301","caaguazu",1
"length_transmission_season",2021-06-30,"20210301","caazapa",1
"length_transmission_season",2021-06-30,"20210301","canindeyu",1
"length_transmission_season",2021-06-30,"20210301","central",1
"length_transmission_season",2021-06-30,"20210301","concepcion",1
"length_transmission_season",2021-06-30,"20210301","cordillera",0
"length_transmission_season",2021-06-30,"20210301","guaira",1
"length_transmission_season",2021-06-30,"20210301","itapua",0
"length_transmission_season",2021-06-30,"20210301","misiones",0
"length_transmission_season",2021-06-30,"20210301","neembucu",1
"length_transmission_season",2021-06-30,"20210301","paraguari",1
