"parametername","initdate","tsdatetime","areaid","tsvalue_ensemble_01","tsvalue_ensemble_02","tsvalue_ensemble_03","tsvalue_ensemble_04","tsvalue_ensemble_05","tsvalue_ensemble_06","tsvalue_ensemble_07","tsvalue_ensemble_08","tsvalue_ensemble_09","tsvalue_ensemble_10","tsvalue_ensemble_11","tsvalue_ensemble_12","tsvalue_ensemble_13","tsvalue_ensemble_14","tsvalue_ensemble_15","tsvalue_ensemble_16","tsvalue_ensemble_17","tsvalue_ensemble_18","tsvalue_ensemble_19","tsvalue_ensemble_20","tsvalue_ensemble_21","tsvalue_ensemble_22","tsvalue_ensemble_23","tsvalue_ensemble_24","tsvalue_ensemble_25","tsvalue_ensemble_26","tsvalue_ensemble_27","tsvalue_ensemble_28","tsvalue_ensemble_29","tsvalue_ensemble_30","tsvalue_ensemble_31","tsvalue_ensemble_32","tsvalue_ensemble_33","tsvalue_ensemble_34","tsvalue_ensemble_35","tsvalue_ensemble_36","tsvalue_ensemble_37","tsvalue_ensemble_38","tsvalue_ensemble_39","tsvalue_ensemble_40","tsvalue_ensemble_41","tsvalue_ensemble_42"
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"alto paraguay",4.9476801314381,4.94830590873296,4.79907070994144,4.89345880155356,4.7950131356321,4.81077522837762,4.77651419032839,4.81089192522847,4.87389761885476,4.86266311332626,4.80075721544445,4.88535619096088,4.75184556272284,4.87714402949112,4.87261403710952,4.74785910507396,4.85854634090603,4.92679742287103,4.7740385730863,4.75949176609105,4.93496191796965,4.90422822731067,4.7424364888203,4.87371069105112,4.73017015587842,5.05661549617286,4.89127486952399,4.65944780831171,4.8656168045239,4.78566289663244,4.73964467894068,4.67116369409408,4.76009527094683,4.81423555449504,4.92953211595116,4.72446047621368,4.97083817433616,4.9617353041498,4.76004530680809,4.87243493426908,5.07614765581025,4.68100106528907
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"alto parana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"amambay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"asuncion",0.300952090924827,0.318226765043363,0.290785928675427,0.301072156541613,0.272742889966675,0.302505939068368,0.270622881693716,0.299363348583599,0.273345091925174,0.257447396732054,0.281312868043127,0.322567668051759,0.266517135999703,0.262985278503552,0.332470009429905,0.292005007265484,0.26386138390087,0.285118487952393,0.268989739884877,0.275068238369876,0.312616356852934,0.342305301323101,0.251292942995965,0.281072008443927,0.257147529712826,0.305254953681681,0.312727889973364,0.326914783388975,0.263842194410264,0.259830882281317,0.252511566204073,0.259790020814954,0.281458890112472,0.269527772771966,0.260678697880249,0.256643254733903,0.295107869303001,0.31748743001845,0.269928502743625,0.31257380535048,0.291418133692584,0.259611972387946
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"boqueron",19.5216056528942,20.1220418684705,19.2209481282876,19.7312898042884,19.3984854089359,19.83945954614,19.7941898969331,19.7139582579854,19.5601136617759,19.4648633255756,19.2841067751218,19.8214479110971,19.3620285814352,19.5743457574005,19.9248041024451,19.7146478217492,19.664781525492,20.164942944881,19.7734073464516,19.6637583506544,19.8929519536165,20.2227194314671,19.1239219453033,19.6851913957982,19.147644225236,20.2923100346372,20.076844252263,19.4241431131065,19.5977264574824,19.6970196772134,19.2811274164526,18.823056654772,19.4094960808692,19.3582012615793,19.7559423782506,18.8479541240688,20.6202352291329,20.2141067819145,19.4469863627792,20.0240778778856,20.5593541883812,19.4457586577758
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"caaguazu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"caazapa",0.324251454636458,0.35605882048464,0.326849389827626,0.356921906834364,0.329901034883623,0.339717426892122,0.324580546737185,0.338958444243846,0.306708565047116,0.291551171971538,0.319910190643066,0.337590865515228,0.338549099287789,0.310932634025295,0.368902890117149,0.332360442082705,0.302390882258466,0.32169108143047,0.317064760615122,0.334230935038555,0.374412590952984,0.351951510226424,0.295802036571221,0.317718040586281,0.294855137027314,0.325116062416998,0.364761338288321,0.345770440575044,0.30428217172422,0.285279797636093,0.291674757312661,0.306897452046126,0.339973259778198,0.2945392178418,0.309186357205602,0.314993740956005,0.339995175557656,0.351041119686769,0.306846007843106,0.344109278372515,0.310433461751357,0.329083978969966
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"canindeyu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"central",0.140003171953155,0.157142043275375,0.138431727353294,0.154069205798093,0.126052645645632,0.149983975520661,0.1324079598735,0.145329173638615,0.137806051858631,0.117365373814644,0.131956151517591,0.157304400177904,0.138766667620102,0.12282044201047,0.172016535583779,0.143930274941338,0.12433189548076,0.135622021110748,0.123916192577763,0.134929692165928,0.163098055205096,0.171180283042202,0.117095265945446,0.133550786623795,0.117870871120414,0.145112834208856,0.155099317269098,0.165070162375046,0.123869210345673,0.116048011481351,0.105580904119288,0.127668020319563,0.140614949065613,0.124737510887381,0.117808098405366,0.120290023954668,0.147074042406631,0.157688439426161,0.13145846137192,0.152560319267575,0.136585612401434,0.130798222612171
"predicted_dengue_incidence_lower_bound","20201001",2020-11-30,"concepcion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
