"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2020-10-31,"20200901","alto paraguay",0
"length_transmission_season",2020-10-31,"20200901","alto parana",0
"length_transmission_season",2020-10-31,"20200901","amambay",0
"length_transmission_season",2020-10-31,"20200901","asuncion",0
"length_transmission_season",2020-10-31,"20200901","boqueron",0
"length_transmission_season",2020-10-31,"20200901","caaguazu",0
"length_transmission_season",2020-10-31,"20200901","caazapa",0
"length_transmission_season",2020-10-31,"20200901","canindeyu",0
"length_transmission_season",2020-10-31,"20200901","central",0
"length_transmission_season",2020-10-31,"20200901","concepcion",0
"length_transmission_season",2020-10-31,"20200901","cordillera",0
"length_transmission_season",2020-10-31,"20200901","guaira",0
"length_transmission_season",2020-10-31,"20200901","itapua",0
"length_transmission_season",2020-10-31,"20200901","misiones",0
"length_transmission_season",2020-10-31,"20200901","neembucu",0
"length_transmission_season",2020-10-31,"20200901","paraguari",0
"length_transmission_season",2020-10-31,"20200901","presidente hayes",0
"length_transmission_season",2020-10-31,"20200901","san pedro",0
"length_transmission_season",2020-11-30,"20200901","alto paraguay",0
"length_transmission_season",2020-11-30,"20200901","alto parana",0
"length_transmission_season",2020-11-30,"20200901","amambay",0
"length_transmission_season",2020-11-30,"20200901","asuncion",1
"length_transmission_season",2020-11-30,"20200901","boqueron",0
"length_transmission_season",2020-11-30,"20200901","caaguazu",0
"length_transmission_season",2020-11-30,"20200901","caazapa",0
"length_transmission_season",2020-11-30,"20200901","canindeyu",0
"length_transmission_season",2020-11-30,"20200901","central",0
"length_transmission_season",2020-11-30,"20200901","concepcion",0
"length_transmission_season",2020-11-30,"20200901","cordillera",0
"length_transmission_season",2020-11-30,"20200901","guaira",0
"length_transmission_season",2020-11-30,"20200901","itapua",0
"length_transmission_season",2020-11-30,"20200901","misiones",0
"length_transmission_season",2020-11-30,"20200901","neembucu",0
"length_transmission_season",2020-11-30,"20200901","paraguari",0
"length_transmission_season",2020-11-30,"20200901","presidente hayes",0
"length_transmission_season",2020-11-30,"20200901","san pedro",0
"length_transmission_season",2020-12-31,"20200901","alto paraguay",1
"length_transmission_season",2020-12-31,"20200901","alto parana",0
"length_transmission_season",2020-12-31,"20200901","amambay",0
"length_transmission_season",2020-12-31,"20200901","asuncion",1
"length_transmission_season",2020-12-31,"20200901","boqueron",1
