"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2020-11-30,"20201001","alto paraguay",1
"length_transmission_season",2020-11-30,"20201001","alto parana",0
"length_transmission_season",2020-11-30,"20201001","amambay",0
"length_transmission_season",2020-11-30,"20201001","asuncion",0
"length_transmission_season",2020-11-30,"20201001","boqueron",1
"length_transmission_season",2020-11-30,"20201001","caaguazu",0
"length_transmission_season",2020-11-30,"20201001","caazapa",0
"length_transmission_season",2020-11-30,"20201001","canindeyu",0
"length_transmission_season",2020-11-30,"20201001","central",0
"length_transmission_season",2020-11-30,"20201001","concepcion",0
"length_transmission_season",2020-11-30,"20201001","cordillera",0
"length_transmission_season",2020-11-30,"20201001","guaira",0
"length_transmission_season",2020-11-30,"20201001","itapua",0
"length_transmission_season",2020-11-30,"20201001","misiones",0
"length_transmission_season",2020-11-30,"20201001","neembucu",1
"length_transmission_season",2020-11-30,"20201001","paraguari",0
"length_transmission_season",2020-11-30,"20201001","presidente hayes",0
"length_transmission_season",2020-11-30,"20201001","san pedro",0
"length_transmission_season",2020-12-31,"20201001","alto paraguay",1
"length_transmission_season",2020-12-31,"20201001","alto parana",0
"length_transmission_season",2020-12-31,"20201001","amambay",0
"length_transmission_season",2020-12-31,"20201001","asuncion",1
"length_transmission_season",2020-12-31,"20201001","boqueron",1
"length_transmission_season",2020-12-31,"20201001","caaguazu",0
"length_transmission_season",2020-12-31,"20201001","caazapa",1
"length_transmission_season",2020-12-31,"20201001","canindeyu",0
"length_transmission_season",2020-12-31,"20201001","central",1
"length_transmission_season",2020-12-31,"20201001","concepcion",0
"length_transmission_season",2020-12-31,"20201001","cordillera",0
"length_transmission_season",2020-12-31,"20201001","guaira",0
"length_transmission_season",2020-12-31,"20201001","itapua",0
"length_transmission_season",2020-12-31,"20201001","misiones",0
"length_transmission_season",2020-12-31,"20201001","neembucu",1
"length_transmission_season",2020-12-31,"20201001","paraguari",1
"length_transmission_season",2020-12-31,"20201001","presidente hayes",0
"length_transmission_season",2020-12-31,"20201001","san pedro",0
"length_transmission_season",2021-01-31,"20201001","alto paraguay",1
"length_transmission_season",2021-01-31,"20201001","alto parana",0
"length_transmission_season",2021-01-31,"20201001","amambay",1
"length_transmission_season",2021-01-31,"20201001","asuncion",1
"length_transmission_season",2021-01-31,"20201001","boqueron",1
"length_transmission_season",2021-01-31,"20201001","caaguazu",0
"length_transmission_season",2021-01-31,"20201001","caazapa",1
"length_transmission_season",2021-01-31,"20201001","canindeyu",0
"length_transmission_season",2021-01-31,"20201001","central",1
"length_transmission_season",2021-01-31,"20201001","concepcion",1
"length_transmission_season",2021-01-31,"20201001","cordillera",1
"length_transmission_season",2021-01-31,"20201001","guaira",1
"length_transmission_season",2021-01-31,"20201001","itapua",0
"length_transmission_season",2021-01-31,"20201001","misiones",0
"length_transmission_season",2021-01-31,"20201001","neembucu",1
"length_transmission_season",2021-01-31,"20201001","paraguari",1
"length_transmission_season",2021-01-31,"20201001","presidente hayes",1
"length_transmission_season",2021-01-31,"20201001","san pedro",1
"length_transmission_season",2021-02-28,"20201001","alto paraguay",1
"length_transmission_season",2021-02-28,"20201001","alto parana",1
"length_transmission_season",2021-02-28,"20201001","amambay",1
"length_transmission_season",2021-02-28,"20201001","asuncion",1
"length_transmission_season",2021-02-28,"20201001","boqueron",1
"length_transmission_season",2021-02-28,"20201001","caaguazu",1
"length_transmission_season",2021-02-28,"20201001","caazapa",1
"length_transmission_season",2021-02-28,"20201001","canindeyu",1
"length_transmission_season",2021-02-28,"20201001","central",1
"length_transmission_season",2021-02-28,"20201001","concepcion",1
"length_transmission_season",2021-02-28,"20201001","cordillera",1
"length_transmission_season",2021-02-28,"20201001","guaira",1
"length_transmission_season",2021-02-28,"20201001","itapua",1
"length_transmission_season",2021-02-28,"20201001","misiones",0
"length_transmission_season",2021-02-28,"20201001","neembucu",1
"length_transmission_season",2021-02-28,"20201001","paraguari",1
