"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2020-09-30,"20200301","central",1
"length_transmission_season",2020-09-30,"20200301","concepcion",0
"length_transmission_season",2020-09-30,"20200301","cordillera",1
"length_transmission_season",2020-09-30,"20200301","guaira",0
"length_transmission_season",2020-09-30,"20200301","itapua",0
"length_transmission_season",2020-09-30,"20200301","misiones",0
"length_transmission_season",2020-09-30,"20200301","neembucu",1
"length_transmission_season",2020-09-30,"20200301","paraguari",0
"length_transmission_season",2020-09-30,"20200301","presidente hayes",0
"length_transmission_season",2020-09-30,"20200301","san pedro",1
