"areaid","tsdatetime","probq75","probq95","initdate"
"alto paraguay",2020-08-31,0.00266671428571429,1e-06,"20200701"
"alto parana",2020-08-31,0.0029047619047619,1e-06,"20200701"
"amambay",2020-08-31,1e-06,1e-06,"20200701"
"asuncion",2020-08-31,0.999999,0.42302380952381,"20200701"
"boqueron",2020-08-31,1e-06,1e-06,"20200701"
"caaguazu",2020-08-31,1e-06,1e-06,"20200701"
"caazapa",2020-08-31,1e-06,1e-06,"20200701"
"canindeyu",2020-08-31,1e-06,1e-06,"20200701"
"central",2020-08-31,0.999999,4.85952380952381e-05,"20200701"
"concepcion",2020-08-31,1e-06,1e-06,"20200701"
"cordillera",2020-08-31,1e-06,1e-06,"20200701"
"guaira",2020-08-31,1e-06,1e-06,"20200701"
"itapua",2020-08-31,1e-06,1e-06,"20200701"
"misiones",2020-08-31,1e-06,1e-06,"20200701"
"neembucu",2020-08-31,1e-06,1e-06,"20200701"
"paraguari",2020-08-31,1e-06,1e-06,"20200701"
"presidente hayes",2020-08-31,1e-06,1e-06,"20200701"
"san pedro",2020-08-31,0.000286428571428571,1e-06,"20200701"
"alto paraguay",2020-09-30,0.061547619047619,1e-06,"20200701"
"alto parana",2020-09-30,1e-06,1e-06,"20200701"
"amambay",2020-09-30,1e-06,1e-06,"20200701"
"asuncion",2020-09-30,1e-06,1e-06,"20200701"
"boqueron",2020-09-30,1e-06,1e-06,"20200701"
"caaguazu",2020-09-30,1e-06,1e-06,"20200701"
"caazapa",2020-09-30,0.001,1e-06,"20200701"
"canindeyu",2020-09-30,1e-06,1e-06,"20200701"
"central",2020-09-30,0.848285714285714,4.85714285714286e-05,"20200701"
"concepcion",2020-09-30,1e-06,1e-06,"20200701"
"cordillera",2020-09-30,0.00119047619047619,1e-06,"20200701"
"guaira",2020-09-30,1e-06,1e-06,"20200701"
"itapua",2020-09-30,1e-06,1e-06,"20200701"
"misiones",2020-09-30,9.61428571428571e-05,1e-06,"20200701"
"neembucu",2020-09-30,1e-06,1e-06,"20200701"
"paraguari",2020-09-30,1e-06,1e-06,"20200701"
"presidente hayes",2020-09-30,1e-06,1e-06,"20200701"
"san pedro",2020-09-30,0.00173809523809524,1e-06,"20200701"
"alto paraguay",2020-10-31,0.371071428571429,1e-06,"20200701"
