"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2020-06-30,"20200501","alto paraguay",1
"length_transmission_season",2020-06-30,"20200501","alto parana",0
"length_transmission_season",2020-06-30,"20200501","amambay",1
"length_transmission_season",2020-06-30,"20200501","asuncion",1
"length_transmission_season",2020-06-30,"20200501","boqueron",1
"length_transmission_season",2020-06-30,"20200501","caaguazu",1
"length_transmission_season",2020-06-30,"20200501","caazapa",1
"length_transmission_season",2020-06-30,"20200501","canindeyu",1
"length_transmission_season",2020-06-30,"20200501","central",1
"length_transmission_season",2020-06-30,"20200501","concepcion",1
"length_transmission_season",2020-06-30,"20200501","cordillera",0
"length_transmission_season",2020-06-30,"20200501","guaira",1
"length_transmission_season",2020-06-30,"20200501","itapua",1
"length_transmission_season",2020-06-30,"20200501","misiones",0
"length_transmission_season",2020-06-30,"20200501","neembucu",1
"length_transmission_season",2020-06-30,"20200501","paraguari",1
"length_transmission_season",2020-06-30,"20200501","presidente hayes",1
"length_transmission_season",2020-06-30,"20200501","san pedro",0
"length_transmission_season",2020-07-31,"20200501","alto paraguay",1
"length_transmission_season",2020-07-31,"20200501","alto parana",0
"length_transmission_season",2020-07-31,"20200501","amambay",1
"length_transmission_season",2020-07-31,"20200501","asuncion",1
"length_transmission_season",2020-07-31,"20200501","boqueron",1
"length_transmission_season",2020-07-31,"20200501","caaguazu",1
"length_transmission_season",2020-07-31,"20200501","caazapa",1
"length_transmission_season",2020-07-31,"20200501","canindeyu",1
"length_transmission_season",2020-07-31,"20200501","central",1
"length_transmission_season",2020-07-31,"20200501","concepcion",1
"length_transmission_season",2020-07-31,"20200501","cordillera",0
"length_transmission_season",2020-07-31,"20200501","guaira",1
"length_transmission_season",2020-07-31,"20200501","itapua",1
"length_transmission_season",2020-07-31,"20200501","misiones",0
"length_transmission_season",2020-07-31,"20200501","neembucu",1
"length_transmission_season",2020-07-31,"20200501","paraguari",1
"length_transmission_season",2020-07-31,"20200501","presidente hayes",1
"length_transmission_season",2020-07-31,"20200501","san pedro",0
"length_transmission_season",2020-08-31,"20200501","alto paraguay",1
"length_transmission_season",2020-08-31,"20200501","alto parana",0
"length_transmission_season",2020-08-31,"20200501","amambay",1
"length_transmission_season",2020-08-31,"20200501","asuncion",1
"length_transmission_season",2020-08-31,"20200501","boqueron",1
"length_transmission_season",2020-08-31,"20200501","caaguazu",1
"length_transmission_season",2020-08-31,"20200501","caazapa",1
"length_transmission_season",2020-08-31,"20200501","canindeyu",1
"length_transmission_season",2020-08-31,"20200501","central",1
"length_transmission_season",2020-08-31,"20200501","concepcion",1
"length_transmission_season",2020-08-31,"20200501","cordillera",0
"length_transmission_season",2020-08-31,"20200501","guaira",1
"length_transmission_season",2020-08-31,"20200501","itapua",1
"length_transmission_season",2020-08-31,"20200501","misiones",0
"length_transmission_season",2020-08-31,"20200501","neembucu",1
"length_transmission_season",2020-08-31,"20200501","paraguari",1
"length_transmission_season",2020-08-31,"20200501","presidente hayes",1
"length_transmission_season",2020-08-31,"20200501","san pedro",0
"length_transmission_season",2020-09-30,"20200501","alto paraguay",1
"length_transmission_season",2020-09-30,"20200501","alto parana",0
"length_transmission_season",2020-09-30,"20200501","amambay",1
"length_transmission_season",2020-09-30,"20200501","asuncion",1
"length_transmission_season",2020-09-30,"20200501","boqueron",1
"length_transmission_season",2020-09-30,"20200501","caaguazu",1
"length_transmission_season",2020-09-30,"20200501","caazapa",1
"length_transmission_season",2020-09-30,"20200501","canindeyu",1
"length_transmission_season",2020-09-30,"20200501","central",1
"length_transmission_season",2020-09-30,"20200501","concepcion",1
"length_transmission_season",2020-09-30,"20200501","cordillera",0
"length_transmission_season",2020-09-30,"20200501","guaira",1
"length_transmission_season",2020-09-30,"20200501","itapua",1
"length_transmission_season",2020-09-30,"20200501","misiones",0
"length_transmission_season",2020-09-30,"20200501","neembucu",1
"length_transmission_season",2020-09-30,"20200501","paraguari",1
"length_transmission_season",2020-09-30,"20200501","presidente hayes",1
"length_transmission_season",2020-09-30,"20200501","san pedro",0
"length_transmission_season",2020-10-31,"20200501","alto paraguay",1
"length_transmission_season",2020-10-31,"20200501","alto parana",1
"length_transmission_season",2020-10-31,"20200501","amambay",1
"length_transmission_season",2020-10-31,"20200501","asuncion",1
"length_transmission_season",2020-10-31,"20200501","boqueron",1
"length_transmission_season",2020-10-31,"20200501","caaguazu",1
"length_transmission_season",2020-10-31,"20200501","caazapa",1
"length_transmission_season",2020-10-31,"20200501","canindeyu",1
"length_transmission_season",2020-10-31,"20200501","central",1
"length_transmission_season",2020-10-31,"20200501","concepcion",1
"length_transmission_season",2020-10-31,"20200501","cordillera",0
"length_transmission_season",2020-10-31,"20200501","guaira",0
